Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Andreea,2023-06-04 13:31:02,00:19:55,,Manifest: Season 4: Threshold (Episode 17),,iPhone 12 Pro Max,00:28:41,00:28:41,RO (Romania)
Andreea,2023-06-04 13:21:59,00:08:46,,Manifest: Season 4: Threshold (Episode 17),,iPhone 12 Pro Max,00:08:46,Not latest view,RO (Romania)
Andreea,2023-06-04 12:54:09,00:26:24,,Manifest: Season 4: Furball (Episode 16),,iPhone 12 Pro Max,00:45:20,00:45:20,RO (Romania)
Andreea,2023-06-04 11:28:28,00:09:33,,Manifest: Season 4: Furball (Episode 16),,iPhone 12 Pro Max,00:17:36,Not latest view,RO (Romania)
Andreea,2023-06-04 10:47:14,00:14:40,,Manifest: Season 4: Throttle (Episode 15),,iPhone 12 Pro Max,00:42:16,00:42:16,RO (Romania)
Andreea,2023-06-04 10:22:53,00:24:20,,Manifest: Season 4: Fata Morgana (Episode 14),,iPhone 12 Pro Max,00:44:48,00:44:48,RO (Romania)
Andreea,2023-06-04 08:16:09,00:19:25,,Manifest: Season 4: Fata Morgana (Episode 14),,iPhone 12 Pro Max,00:20:28,Not latest view,RO (Romania)
Andreea,2023-06-04 07:29:02,00:24:18,,Manifest: Season 4: Ghost Plane (Episode 13),,iPhone 12 Pro Max,00:46:19,00:46:19,RO (Romania)
Andreea,2023-06-04 06:47:51,00:41:10,,Manifest: Season 4: Bug Out (Episode 12),,iPhone 12 Pro Max,00:41:10,00:41:10,RO (Romania)
Andreea,2023-06-03 19:41:28,01:27:29,Autoplayed: user action: User_Interaction; ,Teambuilding,,Sony Sony CE SONY SimpleTV 2015 Sal Smart TV,01:27:26,01:27:26,RO (Romania)
Andreea,2023-06-03 19:36:10,00:00:11,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: Vortex,HOOK,Sony Sony CE SONY SimpleTV 2015 Sal Smart TV,00:00:11,00:00:11,RO (Romania)
Andreea,2023-06-03 17:19:15,00:01:22,,Manifest: Season 4: Final Descent (Episode 11),,iPhone 12 Pro Max,00:45:14,00:45:14,RO (Romania)
Andreea,2023-06-03 17:17:47,00:01:26,Autoplayed: user action: None; ,Season 4 Part 1 Recap: Manifest,RECAP,iPhone 12 Pro Max,00:01:26,00:01:26,RO (Romania)
Andreea,2023-06-03 08:12:21,00:38:31,,Valeria: Season 3: Balance (Episode 2),,iPhone 12 Pro Max,00:38:26,00:38:26,RO (Romania)
Andreea,2023-06-02 14:08:48,00:17:37,,Valeria: Season 3: The Bachelorette Party (Episode 1),,iPhone 12 Pro Max,00:37:46,00:37:46,RO (Romania)
Andreea,2023-06-02 14:04:23,00:04:23,,Valeria: Season 3: Balance (Episode 2),,iPhone 12 Pro Max,00:04:29,Not latest view,RO (Romania)
Andreea,2023-06-02 13:46:09,00:17:53,,Valeria: Season 3: The Bachelorette Party (Episode 1),,iPhone 12 Pro Max,00:36:29,Not latest view,RO (Romania)
Andreea,2023-06-02 07:34:53,00:18:36,,Valeria: Season 3: The Bachelorette Party (Episode 1),,iPhone 12 Pro Max,00:18:36,Not latest view,RO (Romania)
Andreea,2023-06-01 15:50:51,00:42:09,,Echoes: Limited Series: Home (Episode 1),,iPhone 12 Pro Max,00:42:09,00:42:09,RO (Romania)
Andreea,2023-05-30 14:05:47,00:47:45,,Muted: Season 1: Episode 6,,iPhone 12 Pro Max,00:45:11,00:45:11,RO (Romania)
Andreea,2023-05-30 13:16:49,00:38:40,,Muted: Season 1: Episode 5,,iPhone 12 Pro Max,00:44:04,00:44:04,RO (Romania)
